Size	Bubble	Insertion	Merge	Quick(First)	Quick(Random)	Quick(Median)	Heap	Radix
1000	499500	999	5044	499500	11491	9520	20416	999
2000	1999000	1999	11088	1999000	27246	21033	44600	1999
3000	4498500	2999	18076	4498500	43746	34845	71504	2999
4000	7998000	3999	24176	7998000	60131	46058	98284	3999
5000	12497500	4999	32004	12497500	75738	60678	126864	4999
6000	17997000	5999	39152	17997000	91374	75678	155656	5999
7000	24496500	6999	46180	24496500	114282	88107	184528	6999
8000	31996000	7999	52352	31996000	121510	100107	213276	7999
9000	40495500	8999	60796	40495500	140342	115343	243444	8999
10000	49995000	9999	69008	49995000	143936	131343	273912	9999
