Size	Bubble	Insertion	Merge	Quick(First)	Quick(Random)	Quick(Median)	Heap	Radix
1000	0.006094	0.010010	0.028351	0.004220	0.078061	0.007878	0.014058	0.130130
2000	0.004766	0.006503	0.021284	0.003184	0.086398	0.006656	0.011816	0.113057
3000	0.004349	0.004668	0.016431	0.002062	0.040278	0.004678	0.008321	0.061020
4000	0.003691	0.003751	0.013857	0.001586	0.029519	0.004125	0.006949	0.055014
5000	0.003358	0.003601	0.013186	0.001500	0.026407	0.003692	0.006290	0.051410
6000	0.003261	0.003334	0.013358	0.001553	0.029297	0.004347	0.007305	0.056176
7000	0.003306	0.003143	0.012235	0.001494	0.027318	0.004131	0.007213	0.056294
8000	0.003149	0.003125	0.011709	0.001403	0.030565	0.003436	0.006531	0.048881
9000	0.003335	0.003111	0.011843	0.001458	0.031494	0.003295	0.007102	0.053117
10000	0.003209	0.003400	0.012129	0.001498	0.033946	0.003624	0.006290	0.062806
