Size	Bubble	Insertion	Merge	Quick(First)	Quick(Random)	Quick(Median)	Heap	Radix
1000	1.759000	0.007000	12.000000	181.080000	218.540000	9.920000	47.520000	24.200000
2000	7.532000	0.009000	24.600000	425.400000	287.000000	22.080000	90.360000	46.600000
3000	22.838000	0.019000	54.100000	1353.240000	460.040000	63.680000	219.060000	64.600000
4000	31.446000	0.017000	49.600000	1233.240000	245.840000	26.880000	129.960000	43.200000
5000	30.403000	0.014000	43.100000	1638.000000	314.860000	31.040000	171.000000	54.800000
6000	33.437000	0.016000	51.200000	2827.560000	365.960000	39.200000	202.860000	65.800000
7000	42.137000	0.019000	60.700000	3189.000000	475.440000	52.480000	239.400000	75.200000
8000	61.736000	0.025000	74.600000	4063.080000	510.440000	55.840000	221.940000	74.800000
9000	72.775000	0.025000	79.400000	4809.960000	598.920000	61.280000	277.380000	88.200000
10000	91.928000	0.028000	84.900000	6093.960000	710.080000	65.440000	364.680000	133.000000
