Size	Bubble	Insertion	Merge	Quick(First)	Quick(Random)	Quick(Median)	Heap	Radix
1000	3.044000	0.010000	0.143000	2.108000	0.897000	0.075000	0.287000	0.130000
2000	9.527000	0.013000	0.236000	6.364000	2.354000	0.140000	0.527000	0.226000
3000	19.565000	0.014000	0.297000	9.278000	1.762000	0.163000	0.595000	0.183000
4000	29.520000	0.015000	0.335000	12.682000	1.775000	0.190000	0.683000	0.220000
5000	41.961000	0.018000	0.422000	18.744000	2.000000	0.224000	0.798000	0.257000
6000	58.682000	0.020000	0.523000	27.942000	2.677000	0.329000	1.137000	0.337000
7000	80.994000	0.022000	0.565000	36.591000	3.122000	0.364000	1.331000	0.394000
8000	100.768000	0.025000	0.613000	44.877000	3.714000	0.344000	1.393000	0.391000
9000	135.055000	0.028000	0.720000	59.050000	4.420000	0.380000	1.729000	0.478000
10000	160.429000	0.034000	0.837000	74.873000	4.886000	0.476000	1.723000	0.628000
