Size	Bubble	Insertion	Merge	Quick(First)	Quick(Random)	Quick(Median)	Heap	Radix
1000	499500	499500	4932	499500	13781	15394	17632	999
2000	1999000	1999000	10864	1999000	23880	35696	39416	1999
3000	4498500	4498500	16828	4498500	41105	57906	62500	2999
4000	7998000	7998000	23728	7998000	57423	81125	86872	3999
5000	12497500	12497500	29804	12497500	67208	105606	111872	4999
6000	17997000	17997000	36656	17997000	84751	130655	137196	5999
7000	24496500	24496500	43628	24496500	108096	156159	163340	6999
8000	31996000	31996000	51456	31996000	118246	182180	189552	7999
9000	40495500	40495500	57820	40495500	140607	208859	216372	8999
10000	49995000	49995000	64608	49995000	156806	236088	243392	9999
