Size	Bubble	Insertion	Merge	Quick(First)	Quick(Random)	Quick(Median)	Heap	Radix
1000	0.009023	0.005556	0.026561	0.006569	0.093317	0.006561	0.012250	0.135135
2000	0.007600	0.004701	0.020619	0.004557	0.081281	0.005127	0.010909	0.076538
3000	0.005887	0.003530	0.014856	0.002784	0.051089	0.003851	0.008176	0.057686
4000	0.004478	0.003280	0.013992	0.002723	0.045139	0.003612	0.008058	0.055764
5000	0.004468	0.003287	0.013522	0.002762	0.044965	0.003778	0.007759	0.055011
6000	0.004489	0.003299	0.013613	0.002678	0.041817	0.003773	0.007945	0.055676
7000	0.004411	0.003298	0.013753	0.002733	0.039446	0.003708	0.008087	0.055579
8000	0.004797	0.003312	0.013448	0.002739	0.039917	0.003733	0.008008	0.058132
9000	0.004438	0.003829	0.016275	0.002669	0.039557	0.003653	0.007972	0.059784
10000	0.004457	0.003298	0.014240	0.002724	0.038474	0.003507	0.007753	0.069507
