Size	Bubble	Insertion	Merge	Quick(First)	Quick(Random)	Quick(Median)	Heap	Radix
1000	4.507000	2.775000	0.131000	3.281000	1.286000	0.101000	0.216000	0.135000
2000	15.192000	9.397000	0.224000	9.109000	1.941000	0.183000	0.430000	0.153000
3000	26.483000	15.880000	0.250000	12.523000	2.100000	0.223000	0.511000	0.173000
4000	35.818000	26.236000	0.332000	21.779000	2.592000	0.293000	0.700000	0.223000
5000	55.839000	41.085000	0.403000	34.513000	3.022000	0.399000	0.868000	0.275000
6000	80.783000	59.368000	0.499000	48.197000	3.544000	0.493000	1.090000	0.334000
7000	108.053000	80.790000	0.600000	66.949000	4.264000	0.579000	1.321000	0.389000
8000	153.480000	105.980000	0.692000	87.631000	4.720000	0.680000	1.518000	0.465000
9000	179.699000	155.058000	0.941000	108.099000	5.562000	0.763000	1.725000	0.538000
10000	222.809000	164.885000	0.920000	136.189000	6.033000	0.828000	1.887000	0.695000
