Size	Bubble	Insertion	Merge	Quick(First)	Quick(Random)	Quick(Median)	Heap	Radix
1000	499500	250382	8718	10268	11250	11423	19206	999
2000	1999000	1001995	19432	24670	23599	23848	42346	1999
3000	4498500	2244129	30942	37384	40839	39325	67178	2999
4000	7998000	3956011	42783	57896	56203	51880	92794	3999
5000	12497500	6161968	55234	73782	76668	67250	119372	4999
6000	17997000	8946507	67838	85730	82186	81292	146446	5999
7000	24496500	12301999	80690	99253	103273	98839	173806	6999
8000	31996000	15981180	93616	115655	117481	114220	201284	7999
9000	40495500	20344206	106909	132631	136359	132570	229694	8999
10000	49995000	25213572	120382	151537	161715	148250	258398	9999
