Size	Bubble	Insertion	Merge	Quick(First)	Quick(Random)	Quick(Median)	Heap	Radix
1000	0.013512	0.004889	0.026612	0.015095	0.079289	0.014970	0.013850	0.084084
2000	0.006307	0.004209	0.022437	0.011796	0.066655	0.013880	0.012965	0.100550
3000	0.005553	0.003677	0.019682	0.010646	0.051348	0.010579	0.009185	0.068356
4000	0.004230	0.003252	0.016595	0.008429	0.044998	0.010409	0.009440	0.071268
5000	0.004169	0.003332	0.015516	0.008566	0.041151	0.010989	0.009123	0.069014
6000	0.004203	0.003262	0.016082	0.008877	0.046748	0.010296	0.009096	0.071345
7000	0.004212	0.003220	0.015293	0.009068	0.040620	0.009834	0.009286	0.071296
8000	0.004209	0.003279	0.016237	0.008966	0.044654	0.009911	0.009191	0.071259
9000	0.004278	0.003264	0.016042	0.008950	0.041552	0.009927	0.009090	0.071008
10000	0.004267	0.003211	0.016165	0.008836	0.039223	0.009949	0.008804	0.071807
