Size	Bubble	Insertion	Merge	Quick(First)	Quick(Random)	Quick(Median)	Heap	Radix
1000	6.749000	1.224000	0.232000	0.155000	0.892000	0.171000	0.266000	0.084000
2000	12.607000	4.217000	0.436000	0.291000	1.573000	0.331000	0.549000	0.201000
3000	24.979000	8.252000	0.609000	0.398000	2.097000	0.416000	0.617000	0.205000
4000	33.831000	12.866000	0.710000	0.488000	2.529000	0.540000	0.876000	0.285000
5000	52.096000	20.529000	0.857000	0.632000	3.155000	0.739000	1.089000	0.345000
6000	75.646000	29.183000	1.091000	0.761000	3.842000	0.837000	1.332000	0.428000
7000	103.176000	39.613000	1.234000	0.900000	4.195000	0.972000	1.614000	0.499000
8000	134.662000	52.406000	1.520000	1.037000	5.246000	1.132000	1.850000	0.570000
9000	173.234000	66.405000	1.715000	1.187000	5.666000	1.316000	2.088000	0.639000
10000	213.346000	80.951000	1.946000	1.339000	6.343000	1.475000	2.275000	0.718000
